name,artist,album,spotify_id,duration_ms,explicit,uri,primary_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Trouble,Cage The Elephant,Tell Me I'm Pretty,5n0CTysih20NYdT2S0Wpe8,225973,False,spotify:track:5n0CTysih20NYdT2S0Wpe8,Unknown,0.47,0.623,0,-5.655,1,0.0302,0.392,0.000439,0.0992,0.298,77.861,4
Cold Cold Cold,Cage The Elephant,Tell Me I'm Pretty,1Q3t9fWvHUXKsMmpD2XpUu,214386,False,spotify:track:1Q3t9fWvHUXKsMmpD2XpUu,Unknown,0.549,0.789,5,-6.071,1,0.0313,0.0178,6.7e-05,0.059,0.715,136.125,4
You're So Dark,Arctic Monkeys,One For The Road,40DwUg5zPX8H23WpTdD2iW,182751,False,spotify:track:40DwUg5zPX8H23WpTdD2iW,Unknown,0.484,0.649,11,-7.479,0,0.0561,0.258,0.0116,0.0898,0.838,151.537,4
Cold Hard Bitch,Jet,Get Born,5u6fnmRO5V0PTl5M2Eekeu,243200,False,spotify:track:5u6fnmRO5V0PTl5M2Eekeu,Unknown,0.458,0.895,2,-3.972,1,0.0681,0.000219,0.000394,0.106,0.357,130.327,4
Gold on the Ceiling,The Black Keys,El Camino,5lN1EH25gdiqT1SFALMAq1,224333,False,spotify:track:5lN1EH25gdiqT1SFALMAq1,Unknown,0.505,0.833,0,-4.632,1,0.0475,0.00772,7.9e-05,0.069,0.565,130.121,4
What's My Age Again?,blink-182,Enema Of The State,4LJhJ6DQS7NwE7UKtvcM52,148360,True,spotify:track:4LJhJ6DQS7NwE7UKtvcM52,Unknown,0.391,0.951,6,-7.419,1,0.0692,0.0126,0.000378,0.0878,0.468,157.66,4
Lifestyles of the Rich & Famous,Good Charlotte,The Young and The Hopeless,2g2a5kDeZexbUTD8abcvm6,190173,False,spotify:track:2g2a5kDeZexbUTD8abcvm6,Unknown,0.62,0.93,1,-3.685,1,0.0374,0.00043,0,0.0686,0.609,106.22,4
Girl All the Bad Guys Want,Bowling For Soup,Drunk Enough To Dance,0KqyBk4aVT88TEqBIC8mAP,197800,False,spotify:track:0KqyBk4aVT88TEqBIC8mAP,Unknown,0.582,0.829,2,-5.688,1,0.0465,0.000517,0,0.266,0.867,130.969,4
High School Never Ends - Main Version - Explicit,Bowling For Soup,The Great Burrito Extortion Case,1bhjMY5O0ZjB41OHcdRH0a,209040,True,spotify:track:1bhjMY5O0ZjB41OHcdRH0a,Unknown,0.536,0.923,2,-3.494,1,0.125,0.0122,0,0.142,0.77,160.03,4
Flavor Of The Weak,American Hi-Fi,American Hi-Fi,1UkMAtLU8NxsddE7j4zXGO,188840,True,spotify:track:1UkMAtLU8NxsddE7j4zXGO,Unknown,0.39,0.967,10,-1.946,1,0.0644,0.000758,1.74e-05,0.302,0.488,151.944,4
