name,artist,album,spotify_id,duration_ms,explicit,uri,primary_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Astral Flying,The Comet Is Coming,Trust In The Lifeforce Of The Deep Mystery,0MWuAl8muWokgXh7f69aeA,283986,False,spotify:track:0MWuAl8muWokgXh7f69aeA,Unknown,0.584,0.698,2,-7.583,0,0.0427,0.157,0.93,0.099,0.166,102.339,5
Timewave Zero,The Comet Is Coming,Trust In The Lifeforce Of The Deep Mystery,2fOutkvdVCHmgAs1ITpAKJ,320760,False,spotify:track:2fOutkvdVCHmgAs1ITpAKJ,Unknown,0.336,0.931,2,-5.525,1,0.101,0.0995,0.808,0.481,0.401,156.758,4
Unity,The Comet Is Coming,Trust In The Lifeforce Of The Deep Mystery,73hC84WCZPpaGOvN9SSebV,253613,False,spotify:track:73hC84WCZPpaGOvN9SSebV,Unknown,0.623,0.709,7,-11.445,1,0.0383,0.668,0.825,0.11,0.722,125.907,4
The Universe Wakes Up,The Comet Is Coming,Trust In The Lifeforce Of The Deep Mystery,2zaHxMIRqvNZlpXNDuCA7i,325053,False,spotify:track:2zaHxMIRqvNZlpXNDuCA7i,Unknown,0.27,0.454,1,-8.514,1,0.0373,0.267,0.732,0.107,0.0372,84.953,1
Consoler of the Lonely,The Raconteurs,Consolers of the Lonely,55rs5f3NvawRGMO666XqL5,205586,False,spotify:track:55rs5f3NvawRGMO666XqL5,Unknown,0.407,0.821,0,-4.987,1,0.0657,0.0193,2.06e-06,0.36,0.61,99.814,4
Salute Your Solution,The Raconteurs,Consolers of the Lonely,0ydgFPcYrxaHgVuLd17mjh,179973,False,spotify:track:0ydgFPcYrxaHgVuLd17mjh,Unknown,0.266,0.946,9,-2.855,1,0.171,0.00781,2.73e-06,0.26,0.498,168.461,4
You Don't Understand Me,The Raconteurs,Consolers of the Lonely,2ernyipGR40Ownwem1s2AB,293733,False,spotify:track:2ernyipGR40Ownwem1s2AB,Unknown,0.348,0.716,9,-6.59,1,0.0411,0.116,0.00657,0.123,0.24,143.092,4
Old Enough,The Raconteurs,Consolers of the Lonely,3KPM0UcoLiJNCgtijUBFpd,237373,False,spotify:track:3KPM0UcoLiJNCgtijUBFpd,Unknown,0.338,0.8,7,-5.23,1,0.0417,0.000157,0.000195,0.212,0.472,89.205,4
The Switch and the Spur,The Raconteurs,Consolers of the Lonely,6G1nF3OA50nDc7xgVD7rUz,265626,False,spotify:track:6G1nF3OA50nDc7xgVD7rUz,Unknown,0.44,0.813,7,-4.083,1,0.0332,0.0272,0.0666,0.595,0.464,131.313,4
Hold Up,The Raconteurs,Consolers of the Lonely,6StfoNKKHFnjynHeOM5piT,206373,False,spotify:track:6StfoNKKHFnjynHeOM5piT,Unknown,0.384,0.95,4,-3.758,0,0.118,0.00852,0,0.636,0.476,144.162,4
Top Yourself,The Raconteurs,Consolers of the Lonely,3ZTScjTJav3Yak0OqLTuAL,265506,False,spotify:track:3ZTScjTJav3Yak0OqLTuAL,Unknown,0.505,0.727,0,-5.391,1,0.058,0.188,0.000826,0.0862,0.254,85.899,4
Many Shades of Black,The Raconteurs,Consolers of the Lonely,77wAxok6i6GTJIaSwRsaTJ,264626,False,spotify:track:77wAxok6i6GTJIaSwRsaTJ,Unknown,0.408,0.728,7,-4.287,0,0.034,0.0196,0,0.462,0.632,95.438,3
Five on the Five,The Raconteurs,Consolers of the Lonely,6EX2Dw0TanGWnJGBmDIFZe,212106,False,spotify:track:6EX2Dw0TanGWnJGBmDIFZe,Unknown,0.3,0.941,5,-3.736,0,0.118,0.0142,1.77e-06,0.173,0.441,146.818,4
